soundbar_chunk,audio_chunk,n_windows,train_windows,val_windows
1,1,7182,6462,720
2,2,7182,6462,720
3,3,7182,6462,720
4,4,7182,6462,720
5,5,7182,6462,720
6,6,7182,6462,720
7,7,7182,6462,720
8,8,7182,6462,720
9,9,7182,6462,720
10,10,7182,6462,720
11,11,7182,6462,720
12,12,7182,6462,720
13,13,7182,6462,720
14,14,7182,6462,720
15,15,7182,6462,720
16,16,7182,6462,720
17,17,7182,6462,720
18,18,7182,6462,720
19,19,7182,6462,720
20,20,7182,6462,720
21,21,7182,6462,720
22,22,7182,6462,720
23,23,7182,6462,720
25,25,7182,6462,720
26,26,7182,6462,720
27,27,7182,6462,720
28,28,7182,6462,720
29,29,7182,6462,720
30,30,7182,6462,720
31,31,7182,6462,720
32,32,7182,6462,720
33,33,7182,6462,720
35,35,7182,6462,720
36,36,7182,6462,720
37,37,7182,6462,720
38,38,7182,6462,720
39,39,7182,6462,720
40,40,7182,6462,720
41,41,7182,6462,720
42,42,7182,6462,720
43,43,7182,6462,720
44,44,7182,6462,720
45,45,7182,6462,720
46,46,7182,6462,720
47,47,7182,6462,720
48,48,7182,6462,720
49,49,7182,6462,720
50,50,7182,6462,720
51,51,7182,6462,720
52,52,7182,6462,720
53,53,7182,6462,720
54,54,7182,6462,720
57,57,7182,6462,720
58,58,7182,6462,720
59,59,7182,6462,720
60,60,7182,6462,720
61,61,7182,6462,720
62,62,7182,6462,720
63,63,7182,6462,720
64,64,7182,6462,720
65,65,7182,6462,720
66,66,7182,6462,720
67,67,7182,6462,720
68,68,6590,5929,661
69,69,7182,6462,720
70,70,7182,6462,720
71,71,7182,6462,720
72,72,7182,6462,720
73,73,7182,6462,720
74,74,7182,6462,720
75,75,659,593,66
