chunk,lag_ms_written,measured_lag_ms,peak,fallback
chunk_001,3348.5,3348.5,0.421,False
chunk_002,3402.6,3402.6,0.704,False
chunk_003,3353.8,3353.8,0.873,False
chunk_004,3398.3,3398.3,0.896,False
chunk_005,3366.0,3366.0,0.522,False
chunk_006,3366.2,3331.2,0.256,True
chunk_007,3410.5,3410.5,0.697,False
chunk_008,3388.5,3388.5,0.53,False
chunk_009,3357.0,3357.0,0.614,False
chunk_010,3372.1,3372.1,0.695,False
chunk_011,3332.5,3332.5,0.799,False
chunk_012,3347.8,3347.8,0.829,False
chunk_013,3344.4,3344.4,0.852,False
chunk_014,3366.2,3374.8,0.195,True
chunk_015,3360.7,3360.7,0.784,False
chunk_016,3341.3,3341.3,0.683,False
chunk_017,3432.3,3432.3,0.554,False
chunk_018,3346.1,3346.1,0.835,False
chunk_019,3366.2,3309.8,0.237,True
chunk_020,3413.0,3413.0,0.829,False
chunk_021,3397.8,3397.8,0.674,False
chunk_022,3394.1,3394.1,0.802,False
chunk_023,3344.9,3344.9,0.769,False
chunk_024,3400.4,3400.4,0.85,False
chunk_025,3352.8,3352.8,0.707,False
chunk_026,3351.3,3351.3,0.841,False
chunk_027,3353.0,3353.0,0.77,False
chunk_028,3397.7,3397.7,0.676,False
chunk_029,3364.2,3364.2,0.728,False
chunk_030,3355.3,3355.3,0.817,False
chunk_031,3361.4,3361.4,0.787,False
chunk_032,3366.2,3354.7,0.188,True
chunk_033,3387.9,3387.9,0.774,False
chunk_034,3387.8,3387.8,0.814,False
chunk_035,3359.1,3359.1,0.661,False
chunk_036,3379.0,3379.0,0.495,False
chunk_037,3364.2,3364.2,0.826,False
chunk_038,3364.1,3364.1,0.69,False
chunk_039,3382.5,3382.5,0.79,False
chunk_040,3405.8,3405.8,0.614,False
chunk_041,3366.2,3366.2,0.419,False
chunk_042,3395.8,3395.8,0.695,False
chunk_043,3385.6,3385.6,0.716,False
chunk_044,3357.3,3357.3,0.8,False
chunk_045,3352.7,3352.7,0.821,False
chunk_046,3408.1,3408.1,0.455,False
chunk_047,3319.5,3319.5,0.71,False
chunk_048,3358.0,3358.0,0.84,False
chunk_049,3354.6,3354.6,0.738,False
chunk_050,3366.2,3366.2,0.779,False
chunk_051,3350.0,3350.0,0.871,False
chunk_052,3330.4,3330.4,0.405,False
chunk_053,3351.2,3351.2,0.553,False
chunk_054,3350.3,3350.3,0.662,False
chunk_055,3384.9,3384.9,0.685,False
chunk_056,3397.9,3397.9,0.704,False
chunk_057,3379.0,3379.0,0.756,False
chunk_058,3372.9,3372.9,0.763,False
chunk_059,3356.3,3356.3,0.845,False
chunk_060,3371.3,3371.3,0.581,False
chunk_061,3301.9,3301.9,0.805,False
chunk_062,3362.1,3362.1,0.773,False
chunk_063,3364.2,3364.2,0.85,False
chunk_064,3383.6,3383.6,0.852,False
chunk_065,3355.7,3355.7,0.775,False
chunk_066,3386.6,3386.6,0.769,False
chunk_067,3356.4,3356.4,0.81,False
chunk_068,3348.5,3348.5,0.783,False
chunk_069,3404.3,3404.3,0.851,False
chunk_070,3377.8,3377.8,0.776,False
chunk_071,3350.5,3350.5,0.846,False
chunk_072,3308.7,3308.7,0.748,False
chunk_073,3391.4,3391.4,0.814,False
chunk_074,3352.6,3352.6,0.884,False
chunk_075,3388.6,3388.6,0.79,False
chunk_076,3367.7,3367.7,0.883,False
chunk_077,3336.9,3336.9,0.714,False
chunk_078,3373.5,3373.5,0.775,False
chunk_079,3399.1,3399.1,0.891,False
chunk_080,3421.7,3421.7,0.812,False
chunk_081,3359.2,3359.2,0.853,False
chunk_082,3355.7,3355.7,0.832,False
chunk_083,3357.5,3357.5,0.814,False
chunk_084,3394.8,3394.8,0.848,False
chunk_085,3363.5,3363.5,0.827,False
chunk_086,3347.1,3347.1,0.798,False
chunk_087,3389.6,3389.6,0.81,False
chunk_088,3357.1,3357.1,0.83,False
chunk_089,3398.5,3398.5,0.806,False
chunk_090,3355.9,3355.9,0.834,False
chunk_091,3379.1,3379.1,0.78,False
chunk_092,3384.8,3384.8,0.747,False
