soundbar_chunk,audio_chunk,windows,train_windows,val_windows,duration_sec
1,1,7197,6477,720,1800.0
2,2,7197,6477,720,1800.0
3,3,7197,6477,720,1800.0
4,4,7197,6477,720,1800.0
5,5,7197,6477,720,1800.0
6,6,7197,6477,720,1800.0
7,7,7197,6477,720,1800.0
8,8,7197,6477,720,1800.0
9,9,7197,6477,720,1800.0
10,10,7197,6477,720,1800.0
11,11,7197,6477,720,1800.0
12,12,7197,6477,720,1800.0
13,13,7197,6477,720,1800.0
14,14,7197,6477,720,1800.0
15,15,7197,6477,720,1800.0
16,16,7197,6477,720,1800.0
17,17,7197,6477,720,1800.0
18,18,7197,6477,720,1800.0
19,19,7197,6477,720,1800.0
20,20,7197,6477,720,1800.0
21,21,7197,6477,720,1800.0
22,22,7197,6477,720,1800.0
23,23,7197,6477,720,1800.0
25,25,7197,6477,720,1800.0
26,26,7197,6477,720,1800.0
27,27,7197,6477,720,1800.0
28,28,7197,6477,720,1800.0
29,29,7197,6477,720,1800.0
30,30,7197,6477,720,1800.0
31,31,7197,6477,720,1800.0
32,32,7197,6477,720,1800.0
33,33,7197,6477,720,1800.0
34,34,26,23,3,7.398
35,35,7197,6477,720,1800.0
36,36,7197,6477,720,1800.0
37,37,7197,6477,720,1800.0
38,38,7197,6477,720,1800.0
39,39,7197,6477,720,1800.0
40,40,7197,6477,720,1800.0
41,41,7197,6477,720,1800.0
42,42,7197,6477,720,1800.0
43,43,7197,6477,720,1800.0
44,44,7197,6477,720,1800.0
45,45,7197,6477,720,1800.0
46,46,7197,6477,720,1800.0
47,47,7197,6477,720,1800.0
48,48,7197,6477,720,1800.0
49,49,7197,6477,720,1800.0
50,50,7197,6477,720,1800.0
51,51,7197,6477,720,1800.0
52,52,7197,6477,720,1800.0
53,53,7197,6477,720,1800.0
54,54,7197,6477,720,1800.0
55,55,1558,1402,156,390.457
56,56,40,36,4,10.777
57,57,7197,6477,720,1800.0
58,58,7197,6477,720,1800.0
59,59,7197,6477,720,1800.0
60,60,7197,6477,720,1800.0
61,61,7197,6477,720,1800.0
62,62,7197,6477,720,1800.0
63,63,7197,6477,720,1800.0
64,64,7197,6477,720,1800.0
65,65,7197,6477,720,1800.0
66,66,7197,6477,720,1800.0
67,67,7197,6477,720,1800.0
68,68,6605,5944,661,1652.16
69,69,7197,6477,720,1800.0
70,70,7197,6477,720,1800.0
71,71,7197,6477,720,1800.0
72,72,7197,6477,720,1800.0
73,73,7197,6477,720,1800.0
74,74,7197,6477,720,1800.0
75,75,659,593,66,165.526
76,76,7197,6477,720,1800.0
77,77,7197,6477,720,1800.0
78,78,7197,6477,720,1800.0
79,79,7197,6477,720,1800.0
80,80,7197,6477,720,1800.0
81,81,7197,6477,720,1800.0
82,82,7197,6477,720,1800.0
83,83,7197,6477,720,1800.0
84,84,7197,6477,720,1800.0
85,85,7197,6477,720,1800.0
86,86,7197,6477,720,1800.0
87,87,7197,6477,720,1800.0
88,88,7197,6477,720,1800.0
89,89,7197,6477,720,1800.0
90,90,7197,6477,720,1800.0
91,91,7197,6477,720,1800.0
92,92,7197,6477,720,1800.0
93,93,7197,6477,720,1800.0
94,94,7197,6477,720,1800.0
95,95,7197,6477,720,1800.0
96,96,7197,6477,720,1800.0
97,97,7197,6477,720,1800.0
98,98,7197,6477,720,1800.0
99,99,7197,6477,720,1800.0
100,100,7197,6477,720,1800.0
101,101,7197,6477,720,1800.0
102,102,7197,6477,720,1800.0
103,103,7197,6477,720,1800.0
104,104,7197,6477,720,1800.0
105,105,1728,1555,173,432.974
106,106,7197,6477,720,1800.0
107,107,7197,6477,720,1800.0
108,108,7197,6477,720,1800.0
109,109,7197,6477,720,1800.0
110,110,7197,6477,720,1800.0
111,111,7197,6477,720,1800.0
112,112,7197,6477,720,1800.0
113,113,7197,6477,720,1800.0
114,114,7197,6477,720,1800.0
115,115,7197,6477,720,1800.0
116,116,7197,6477,720,1800.0
117,117,7197,6477,720,1800.0
118,118,7197,6477,720,1800.0
119,119,1552,1396,156,388.98
