chunk,old_lag_ms,new_lag_ms,peak_xcorr,n_frames
chunk_001,321.3,321.3,0.391,1200
chunk_002,248.7,248.7,0.924,1200
chunk_003,144.5,144.5,0.913,1200
chunk_004,79.9,79.9,0.833,1200
chunk_005,335.7,335.7,0.748,1200
chunk_006,234.1,234.1,0.652,1200
chunk_007,247.7,247.7,0.822,1200
chunk_008,343.2,343.2,0.683,1200
chunk_009,337.0,337.0,0.804,1200
chunk_010,87.1,87.1,0.867,1200
chunk_011,186.2,186.2,0.864,1200
chunk_012,297.1,297.1,0.894,1200
chunk_013,333.2,333.2,0.825,1200
chunk_014,292.0,292.0,0.663,1200
chunk_015,121.8,121.8,0.852,1200
chunk_016,357.6,357.6,0.753,1200
chunk_017,314.8,314.8,0.798,1200
chunk_018,341.1,341.1,0.902,1200
chunk_019,344.9,344.9,0.673,1200
chunk_020,91.3,91.3,0.893,1200
chunk_021,318.1,318.1,0.662,1200
chunk_022,233.1,233.1,0.822,1200
chunk_023,78.3,78.3,0.84,1200
chunk_024,79.9,79.9,0.851,1200
chunk_025,320.2,320.2,0.771,1200
chunk_026,320.5,320.5,0.842,1200
chunk_027,188.2,188.2,0.862,1200
chunk_028,349.0,349.0,0.93,1200
chunk_029,334.2,334.2,0.865,1200
chunk_030,349.2,349.2,0.908,1200
chunk_031,95.8,95.8,0.911,1200
chunk_032,327.4,327.4,0.269,1200
chunk_033,319.9,319.9,0.784,1200
chunk_034,328.1,328.1,0.802,1200
chunk_035,272.8,272.8,0.799,1200
chunk_036,327.0,327.0,0.78,1200
chunk_037,95.6,95.6,0.865,1200
chunk_038,337.7,337.7,0.835,1200
chunk_039,187.7,187.7,0.893,1200
chunk_040,328.1,328.1,0.773,1200
chunk_041,347.0,347.0,0.718,1200
chunk_042,343.9,343.9,0.886,1200
chunk_043,331.4,331.4,0.858,1200
chunk_044,144.4,144.4,0.875,1200
chunk_045,348.0,348.0,0.935,1200
chunk_046,342.2,342.2,0.7,1200
chunk_047,325.3,325.3,0.784,1200
chunk_048,308.4,308.4,0.91,1200
chunk_049,346.1,346.1,0.913,1200
chunk_050,305.5,305.5,0.91,1200
chunk_051,286.3,286.3,0.891,1200
chunk_052,331.6,331.6,0.711,1200
chunk_053,323.8,323.8,0.721,1200
chunk_054,343.6,343.6,0.85,1200
chunk_055,173.0,173.0,0.783,1200
chunk_056,347.5,347.5,0.836,1200
chunk_057,346.6,346.6,0.923,1200
chunk_058,348.4,348.4,0.918,1200
chunk_059,101.9,101.9,0.927,1200
